00601,286.7235,0.743067743,0.116674539,0.052432688,0.003778932,0.047236656,682,5645,12094,24202,63548,115721,0.097923875
00602,1349.151,0.697102554,0.118311913,0.017136086,0.011393674,0.099170541,2299,9202,15927,27309,64509,115211,0.053072413
00603,1698.065,0.739040407,0.113512648,0.046509766,0.018331732,0.085654819,1638,8346,15688,28081,72588,132563,0.193702399
00606,155.7821,0.93369619,0.149973503,0.015368309,0.007419184,0.048754637,1559,6806,14476,24381,43033,58624,0.054945055
00610,806.4141,0.878365333,0.236781048,0.020515325,0.010257663,0.05482965,2773,10549,17026,26298,54626,86546,0.066419884
00612,1006.598,0.825974144,0.129126481,0.027004684,0.016092587,0.074896666,1836,9512,18123,32147,75351,133609,0.107417745
00616,882.9404,0.897273304,0.145229682,0.030035336,0,0.093639576,1614,8600,15667,29073,59729,91442,0.042389758
00617,1637.636,0.796169031,0.147842057,0.014876033,0.020018365,0.098989899,1334,8220,15295,27189,57743,87121,0.033102105
00622,212.6786,0.91130092,0.060562365,0.015140591,0,0.118240807,1329,7534,15419,25045,65737,126706,0.073479319
00623,1177.039,0.871925029,0.137035378,0.021495746,0.020152262,0.083922974,1951,9612,17561,29471,74310,134555,0.095473371
00624,587.0776,0.727650728,0.082063492,0.04015873,0.016507937,0.057142857,1651,7956,14729,25348,51276,78086,0.101677936
00627,750.861,0.800920977,0.109548255,0.026694045,0.009958932,0.075975359,3277,11005,19248,30275,67174,111761,0.072520095
00631,434.4557,0.654513889,0.018567639,0.031830239,0,0.042440318,389,5233,11760,18847,46871,78425,0.010471204
00637,725.5657,0.702804419,0.150803248,0.015373985,0.006045949,0.085334255,1590,9174,16668,28483,60944,94734,0.157196705
00638,283.7773,0.795142555,0.162284197,0.01938911,0.003984064,0.052589641,985,7728,13781,23468,47191,67308,0.076560865
00641,325.0456,0.670101974,0.045329448,0.062975554,0.002590254,0.071879553,1296,7692,14768,26166,57415,89120,0.06647339
00646,1850.418,0.834532374,0.122685185,0.061542146,0.02458493,0.095785441,3628,14371,28360,49533,119037,211876,0.110689541
00647,370.9397,0.728603604,0.148377125,0.016228748,0,0.063369397,1751,7957,14059,23530,48743,72872,0.109152928
00650,490.4257,0.793132505,0.110225764,0.037715803,0.018857902,0.066401062,2535,9745,16418,26609,47468,66177,0.044505963
00652,500.6076,0.927419355,0.260869565,0.04673913,0.090217391,0.065217391,1661,6880,12683,26713,65118,100511,0.064220183
00653,883.1367,0.642406726,0.118200409,0.03599182,0.006543967,0.054805726,1327,7424,12914,21360,53042,96685,0.110426297
00656,653.0469,0.727316371,0.082288229,0.066666667,0.009240924,0.074147415,1219,8035,15155,26693,57826,90235,0.099576271
00659,1003.622,0.807337063,0.101434096,0.025781502,0.012165646,0.074363519,3480,11855,19283,31382,68031,104017,0.058068281
00660,1511.901,0.819562378,0.090456266,0.030085674,0.005379558,0.06714485,4316,12854,21442,33334,61462,89439,0.136595942
00662,981.2645,0.82080836,0.086781502,0.047369406,0.008331773,0.072645572,1390,8016,15391,26383,58364,97033,0.064871068
00664,362.6503,0.737877481,0.240645463,0.036950421,0.006782039,0.028297474,2253,10508,19553,30034,57781,82695,0.06293855
